lat,postcode,email,created_on,lon,state,phone,updated_on,category,country,fax,name,website,logo_url,name_ascii,facebook,description,id,street,twitter,instagram,city,coins,geolocation_degrees
32.7478087,"92104",null,1402005836,-117.1297638,"California","619-255-6475",1433782839,"nightlife","US",null,"Rooted Kava Bar",null,null,null,null,null,131,"Ray Street",null,null,"San Diego",[],"117°7'47.15\"W, 32°44'52.11\"N"
37.7937071,null,null,1365922552,-122.4042094,"California",null,1433782858,"lodging","US",null,"Pacific Tradewinds Hostel",null,null,null,null,null,180,"Sacramento Street",null,null,null,[],"122°24'15.15\"W, 37°47'37.35\"N"
30.3958149,null,null,1397269594,-97.7196383,"Texas","(512) 821-0022",1433782859,"food","US",null,"Bamboo Bistro North",null,null,null,null,null,183,"Burnet Road",null,null,null,[],"97°43'10.7\"W, 30°23'44.93\"N"
30.3986564,null,null,1397272545,-97.7474271,"Texas","512-342-2252",1433782860,"food","US",null,"Bombay Bistro",null,null,null,null,null,185,"Research Boulevard",null,null,null,[],"97°44'50.74\"W, 30°23'55.16\"N"
27.773918,"33701",null,1416843973,-82.633613,"Florida","+1-727-821-2533",1433782863,"food","US",null,"The Ale and the Witch",null,null,null,null,null,194,"2nd Ave NE",null,null,"St. Petersburg",[],"82°38'1.01\"W, 27°46'26.1\"N"
39.0408505,null,null,1396332282,-94.4175927,"Missouri","816-373-3171",1433782865,"food","US",null,"King Wok",null,null,null,null,null,199,"S Noland Rd",null,null,null,[],"94°25'3.33\"W, 39°2'27.06\"N"
39.0402008,null,null,1396333406,-94.4160484,"Missouri","816-373-0666",1433782866,"food","US",null,"Mama Garden",null,null,null,null,null,201,"South Noland Road",null,null,null,[],"94°24'57.77\"W, 39°2'24.72\"N"
39.9991059,null,null,1413064829,-105.2539748,"Colorado","+1 303 4404227",1433782857,"food","US",null,"Moe's Original Bar B Que",null,null,null,null,null,177,"30th Street",null,null,"Boulder",[],"105°15'14.31\"W, 39°59'56.78\"N"
42.6402694,"12209",null,1402449591,-73.784384,"New York","518-729-5950",1433782873,"default","US",null,"Organica: Garden Supply & Hydroponics",null,null,null,null,null,219,"Delaware Avenue",null,null,"Albany",[],"73°47'3.78\"W, 42°38'24.97\"N"
37.4269015,"94306",null,1415410545,-122.1479633,"California","(650) 330-1201",1433782873,"default","US",null,"Red Door Movie Rental",null,null,null,null,null,221,"El Camino Real",null,null,"Palo Alto",[],"122°8'52.67\"W, 37°25'36.85\"N"
35.1907704,null,null,1378422981,-106.5321456,"New Mexico",null,1433783037,"default","US",null,"Sunlight Homes",null,null,null,null,null,638,null,null,null,null,[],"106°31'55.72\"W, 35°11'26.77\"N"
42.3636635,null,null,1367401404,-71.1011293,"Massachusetts","+1 617 4971513",1433782874,"food","US",null,"VeggieGalaxy",null,null,null,null,null,222,"Massachusetts Ave.",null,null,"Cambridge, Massachusetts",[],"71°6'4.07\"W, 42°21'49.19\"N"
